titre,date_soumission,porteur_projet,destinataire,resume_projet,objectifs_projet,description_projet,localisation,beneficiaires,budget_previsionnel,conclusion
Projet Énergie #50,2025-06-15,Organisation Énergie 50,Emergence SARL,Résumé du projet dans le domaine énergie pour la ville de Matadi.,Objectifs spécifiques liés à l'amélioration du secteur énergie à Matadi.,Ce projet vise à mettre en œuvre une solution dans le domaine énergie à Matadi.,Matadi,4980 bénéficiaires,41413 USD,Ce projet contribuera significativement au développement du secteur énergie à Matadi.
Projet Tourisme #51,2025-06-15,Organisation Tourisme 51,Emergence SARL,Résumé du projet dans le domaine tourisme pour la ville de Bukavu.,Objectifs spécifiques liés à l'amélioration du secteur tourisme à Bukavu.,Ce projet vise à mettre en œuvre une solution dans le domaine tourisme à Bukavu.,Bukavu,7976 bénéficiaires,89865 USD,Ce projet contribuera significativement au développement du secteur tourisme à Bukavu.
Projet Santé #52,2025-06-18,Organisation Santé 52,Emergence SARL,Résumé du projet dans le domaine santé pour la ville de Lubumbashi.,Objectifs spécifiques liés à l'amélioration du secteur santé à Lubumbashi.,Ce projet vise à mettre en œuvre une solution dans le domaine santé à Lubumbashi.,Lubumbashi,3976 bénéficiaires,94386 USD,Ce projet contribuera significativement au développement du secteur santé à Lubumbashi.
Projet Énergie #53,2025-06-17,Organisation Énergie 53,Emergence SARL,Résumé du projet dans le domaine énergie pour la ville de Lubumbashi.,Objectifs spécifiques liés à l'amélioration du secteur énergie à Lubumbashi.,Ce projet vise à mettre en œuvre une solution dans le domaine énergie à Lubumbashi.,Lubumbashi,1226 bénéficiaires,45787 USD,Ce projet contribuera significativement au développement du secteur énergie à Lubumbashi.
Projet Transport #54,2025-06-27,Organisation Transport 54,Emergence SARL,Résumé du projet dans le domaine transport pour la ville de Kananga.,Objectifs spécifiques liés à l'amélioration du secteur transport à Kananga.,Ce projet vise à mettre en œuvre une solution dans le domaine transport à Kananga.,Kananga,2113 bénéficiaires,71388 USD,Ce projet contribuera significativement au développement du secteur transport à Kananga.
Projet Tourisme #55,2025-06-28,Organisation Tourisme 55,Emergence SARL,Résumé du projet dans le domaine tourisme pour la ville de Kinshasa.,Objectifs spécifiques liés à l'amélioration du secteur tourisme à Kinshasa.,Ce projet vise à mettre en œuvre une solution dans le domaine tourisme à Kinshasa.,Kinshasa,2439 bénéficiaires,56099 USD,Ce projet contribuera significativement au développement du secteur tourisme à Kinshasa.
Projet Environnement #56,2025-06-10,Organisation Environnement 56,Emergence SARL,Résumé du projet dans le domaine environnement pour la ville de Mbuji-Mayi.,Objectifs spécifiques liés à l'amélioration du secteur environnement à Mbuji-Mayi.,Ce projet vise à mettre en œuvre une solution dans le domaine environnement à Mbuji-Mayi.,Mbuji-Mayi,3201 bénéficiaires,86464 USD,Ce projet contribuera significativement au développement du secteur environnement à Mbuji-Mayi.
Projet Environnement #57,2025-06-19,Organisation Environnement 57,Emergence SARL,Résumé du projet dans le domaine environnement pour la ville de Goma.,Objectifs spécifiques liés à l'amélioration du secteur environnement à Goma.,Ce projet vise à mettre en œuvre une solution dans le domaine environnement à Goma.,Goma,9341 bénéficiaires,34298 USD,Ce projet contribuera significativement au développement du secteur environnement à Goma.
Projet Agriculture #58,2025-06-20,Organisation Agriculture 58,Emergence SARL,Résumé du projet dans le domaine agriculture pour la ville de Mbuji-Mayi.,Objectifs spécifiques liés à l'amélioration du secteur agriculture à Mbuji-Mayi.,Ce projet vise à mettre en œuvre une solution dans le domaine agriculture à Mbuji-Mayi.,Mbuji-Mayi,9230 bénéficiaires,36813 USD,Ce projet contribuera significativement au développement du secteur agriculture à Mbuji-Mayi.
Projet Énergie #59,2025-06-13,Organisation Énergie 59,Emergence SARL,Résumé du projet dans le domaine énergie pour la ville de Lubumbashi.,Objectifs spécifiques liés à l'amélioration du secteur énergie à Lubumbashi.,Ce projet vise à mettre en œuvre une solution dans le domaine énergie à Lubumbashi.,Lubumbashi,1097 bénéficiaires,90140 USD,Ce projet contribuera significativement au développement du secteur énergie à Lubumbashi.
Projet Construction #60,2025-06-10,Organisation Construction 60,Emergence SARL,Résumé du projet dans le domaine construction pour la ville de Kisangani.,Objectifs spécifiques liés à l'amélioration du secteur construction à Kisangani.,Ce projet vise à mettre en œuvre une solution dans le domaine construction à Kisangani.,Kisangani,5101 bénéficiaires,76720 USD,Ce projet contribuera significativement au développement du secteur construction à Kisangani.
Projet Santé #61,2025-06-06,Organisation Santé 61,Emergence SARL,Résumé du projet dans le domaine santé pour la ville de Kananga.,Objectifs spécifiques liés à l'amélioration du secteur santé à Kananga.,Ce projet vise à mettre en œuvre une solution dans le domaine santé à Kananga.,Kananga,5248 bénéficiaires,95916 USD,Ce projet contribuera significativement au développement du secteur santé à Kananga.
Projet Finance #62,2025-06-11,Organisation Finance 62,Emergence SARL,Résumé du projet dans le domaine finance pour la ville de Kikwit.,Objectifs spécifiques liés à l'amélioration du secteur finance à Kikwit.,Ce projet vise à mettre en œuvre une solution dans le domaine finance à Kikwit.,Kikwit,2200 bénéficiaires,28087 USD,Ce projet contribuera significativement au développement du secteur finance à Kikwit.
Projet Finance #63,2025-06-03,Organisation Finance 63,Emergence SARL,Résumé du projet dans le domaine finance pour la ville de Tshikapa.,Objectifs spécifiques liés à l'amélioration du secteur finance à Tshikapa.,Ce projet vise à mettre en œuvre une solution dans le domaine finance à Tshikapa.,Tshikapa,1743 bénéficiaires,28769 USD,Ce projet contribuera significativement au développement du secteur finance à Tshikapa.
Projet Éducation #64,2025-06-11,Organisation Éducation 64,Emergence SARL,Résumé du projet dans le domaine éducation pour la ville de Bukavu.,Objectifs spécifiques liés à l'amélioration du secteur éducation à Bukavu.,Ce projet vise à mettre en œuvre une solution dans le domaine éducation à Bukavu.,Bukavu,3016 bénéficiaires,42962 USD,Ce projet contribuera significativement au développement du secteur éducation à Bukavu.
Projet Environnement #65,2025-07-01,Organisation Environnement 65,Emergence SARL,Résumé du projet dans le domaine environnement pour la ville de Kisangani.,Objectifs spécifiques liés à l'amélioration du secteur environnement à Kisangani.,Ce projet vise à mettre en œuvre une solution dans le domaine environnement à Kisangani.,Kisangani,8906 bénéficiaires,35898 USD,Ce projet contribuera significativement au développement du secteur environnement à Kisangani.
Projet Tourisme #66,2025-06-19,Organisation Tourisme 66,Emergence SARL,Résumé du projet dans le domaine tourisme pour la ville de Bukavu.,Objectifs spécifiques liés à l'amélioration du secteur tourisme à Bukavu.,Ce projet vise à mettre en œuvre une solution dans le domaine tourisme à Bukavu.,Bukavu,9551 bénéficiaires,99397 USD,Ce projet contribuera significativement au développement du secteur tourisme à Bukavu.
Projet Transport #67,2025-06-18,Organisation Transport 67,Emergence SARL,Résumé du projet dans le domaine transport pour la ville de Bukavu.,Objectifs spécifiques liés à l'amélioration du secteur transport à Bukavu.,Ce projet vise à mettre en œuvre une solution dans le domaine transport à Bukavu.,Bukavu,8012 bénéficiaires,82315 USD,Ce projet contribuera significativement au développement du secteur transport à Bukavu.
Projet Éducation #68,2025-06-30,Organisation Éducation 68,Emergence SARL,Résumé du projet dans le domaine éducation pour la ville de Goma.,Objectifs spécifiques liés à l'amélioration du secteur éducation à Goma.,Ce projet vise à mettre en œuvre une solution dans le domaine éducation à Goma.,Goma,2425 bénéficiaires,25402 USD,Ce projet contribuera significativement au développement du secteur éducation à Goma.
Projet Transport #69,2025-06-22,Organisation Transport 69,Emergence SARL,Résumé du projet dans le domaine transport pour la ville de Bukavu.,Objectifs spécifiques liés à l'amélioration du secteur transport à Bukavu.,Ce projet vise à mettre en œuvre une solution dans le domaine transport à Bukavu.,Bukavu,9651 bénéficiaires,90799 USD,Ce projet contribuera significativement au développement du secteur transport à Bukavu.
Projet Santé #70,2025-06-07,Organisation Santé 70,Emergence SARL,Résumé du projet dans le domaine santé pour la ville de Goma.,Objectifs spécifiques liés à l'amélioration du secteur santé à Goma.,Ce projet vise à mettre en œuvre une solution dans le domaine santé à Goma.,Goma,2711 bénéficiaires,20749 USD,Ce projet contribuera significativement au développement du secteur santé à Goma.
Projet Agriculture #71,2025-06-07,Organisation Agriculture 71,Emergence SARL,Résumé du projet dans le domaine agriculture pour la ville de Kananga.,Objectifs spécifiques liés à l'amélioration du secteur agriculture à Kananga.,Ce projet vise à mettre en œuvre une solution dans le domaine agriculture à Kananga.,Kananga,8582 bénéficiaires,43843 USD,Ce projet contribuera significativement au développement du secteur agriculture à Kananga.
Projet Tourisme #72,2025-06-16,Organisation Tourisme 72,Emergence SARL,Résumé du projet dans le domaine tourisme pour la ville de Bukavu.,Objectifs spécifiques liés à l'amélioration du secteur tourisme à Bukavu.,Ce projet vise à mettre en œuvre une solution dans le domaine tourisme à Bukavu.,Bukavu,3733 bénéficiaires,97949 USD,Ce projet contribuera significativement au développement du secteur tourisme à Bukavu.
Projet Santé #73,2025-06-18,Organisation Santé 73,Emergence SARL,Résumé du projet dans le domaine santé pour la ville de Kananga.,Objectifs spécifiques liés à l'amélioration du secteur santé à Kananga.,Ce projet vise à mettre en œuvre une solution dans le domaine santé à Kananga.,Kananga,7904 bénéficiaires,49419 USD,Ce projet contribuera significativement au développement du secteur santé à Kananga.
Projet Construction #74,2025-07-01,Organisation Construction 74,Emergence SARL,Résumé du projet dans le domaine construction pour la ville de Bukavu.,Objectifs spécifiques liés à l'amélioration du secteur construction à Bukavu.,Ce projet vise à mettre en œuvre une solution dans le domaine construction à Bukavu.,Bukavu,4352 bénéficiaires,93182 USD,Ce projet contribuera significativement au développement du secteur construction à Bukavu.
Projet Finance #75,2025-06-01,Organisation Finance 75,Emergence SARL,Résumé du projet dans le domaine finance pour la ville de Goma.,Objectifs spécifiques liés à l'amélioration du secteur finance à Goma.,Ce projet vise à mettre en œuvre une solution dans le domaine finance à Goma.,Goma,1062 bénéficiaires,96318 USD,Ce projet contribuera significativement au développement du secteur finance à Goma.
Projet Construction #76,2025-07-01,Organisation Construction 76,Emergence SARL,Résumé du projet dans le domaine construction pour la ville de Mbuji-Mayi.,Objectifs spécifiques liés à l'amélioration du secteur construction à Mbuji-Mayi.,Ce projet vise à mettre en œuvre une solution dans le domaine construction à Mbuji-Mayi.,Mbuji-Mayi,5712 bénéficiaires,44149 USD,Ce projet contribuera significativement au développement du secteur construction à Mbuji-Mayi.
Projet Santé #77,2025-06-14,Organisation Santé 77,Emergence SARL,Résumé du projet dans le domaine santé pour la ville de Lubumbashi.,Objectifs spécifiques liés à l'amélioration du secteur santé à Lubumbashi.,Ce projet vise à mettre en œuvre une solution dans le domaine santé à Lubumbashi.,Lubumbashi,8384 bénéficiaires,32206 USD,Ce projet contribuera significativement au développement du secteur santé à Lubumbashi.
Projet Santé #78,2025-06-10,Organisation Santé 78,Emergence SARL,Résumé du projet dans le domaine santé pour la ville de Tshikapa.,Objectifs spécifiques liés à l'amélioration du secteur santé à Tshikapa.,Ce projet vise à mettre en œuvre une solution dans le domaine santé à Tshikapa.,Tshikapa,4497 bénéficiaires,43641 USD,Ce projet contribuera significativement au développement du secteur santé à Tshikapa.
Projet Construction #79,2025-06-16,Organisation Construction 79,Emergence SARL,Résumé du projet dans le domaine construction pour la ville de Kikwit.,Objectifs spécifiques liés à l'amélioration du secteur construction à Kikwit.,Ce projet vise à mettre en œuvre une solution dans le domaine construction à Kikwit.,Kikwit,5121 bénéficiaires,36118 USD,Ce projet contribuera significativement au développement du secteur construction à Kikwit.
Projet Finance #80,2025-06-07,Organisation Finance 80,Emergence SARL,Résumé du projet dans le domaine finance pour la ville de Kinshasa.,Objectifs spécifiques liés à l'amélioration du secteur finance à Kinshasa.,Ce projet vise à mettre en œuvre une solution dans le domaine finance à Kinshasa.,Kinshasa,6174 bénéficiaires,39944 USD,Ce projet contribuera significativement au développement du secteur finance à Kinshasa.
Projet Énergie #81,2025-06-14,Organisation Énergie 81,Emergence SARL,Résumé du projet dans le domaine énergie pour la ville de Matadi.,Objectifs spécifiques liés à l'amélioration du secteur énergie à Matadi.,Ce projet vise à mettre en œuvre une solution dans le domaine énergie à Matadi.,Matadi,5784 bénéficiaires,96043 USD,Ce projet contribuera significativement au développement du secteur énergie à Matadi.
Projet Éducation #82,2025-06-26,Organisation Éducation 82,Emergence SARL,Résumé du projet dans le domaine éducation pour la ville de Mbuji-Mayi.,Objectifs spécifiques liés à l'amélioration du secteur éducation à Mbuji-Mayi.,Ce projet vise à mettre en œuvre une solution dans le domaine éducation à Mbuji-Mayi.,Mbuji-Mayi,4172 bénéficiaires,40757 USD,Ce projet contribuera significativement au développement du secteur éducation à Mbuji-Mayi.
Projet Énergie #83,2025-06-24,Organisation Énergie 83,Emergence SARL,Résumé du projet dans le domaine énergie pour la ville de Kinshasa.,Objectifs spécifiques liés à l'amélioration du secteur énergie à Kinshasa.,Ce projet vise à mettre en œuvre une solution dans le domaine énergie à Kinshasa.,Kinshasa,1659 bénéficiaires,39332 USD,Ce projet contribuera significativement au développement du secteur énergie à Kinshasa.
Projet Tourisme #84,2025-06-11,Organisation Tourisme 84,Emergence SARL,Résumé du projet dans le domaine tourisme pour la ville de Bukavu.,Objectifs spécifiques liés à l'amélioration du secteur tourisme à Bukavu.,Ce projet vise à mettre en œuvre une solution dans le domaine tourisme à Bukavu.,Bukavu,1595 bénéficiaires,58921 USD,Ce projet contribuera significativement au développement du secteur tourisme à Bukavu.
Projet Construction #85,2025-06-11,Organisation Construction 85,Emergence SARL,Résumé du projet dans le domaine construction pour la ville de Tshikapa.,Objectifs spécifiques liés à l'amélioration du secteur construction à Tshikapa.,Ce projet vise à mettre en œuvre une solution dans le domaine construction à Tshikapa.,Tshikapa,4031 bénéficiaires,54252 USD,Ce projet contribuera significativement au développement du secteur construction à Tshikapa.
Projet Agriculture #86,2025-06-25,Organisation Agriculture 86,Emergence SARL,Résumé du projet dans le domaine agriculture pour la ville de Kinshasa.,Objectifs spécifiques liés à l'amélioration du secteur agriculture à Kinshasa.,Ce projet vise à mettre en œuvre une solution dans le domaine agriculture à Kinshasa.,Kinshasa,7972 bénéficiaires,52785 USD,Ce projet contribuera significativement au développement du secteur agriculture à Kinshasa.
Projet Environnement #87,2025-06-09,Organisation Environnement 87,Emergence SARL,Résumé du projet dans le domaine environnement pour la ville de Tshikapa.,Objectifs spécifiques liés à l'amélioration du secteur environnement à Tshikapa.,Ce projet vise à mettre en œuvre une solution dans le domaine environnement à Tshikapa.,Tshikapa,6747 bénéficiaires,34704 USD,Ce projet contribuera significativement au développement du secteur environnement à Tshikapa.
Projet Commerce #88,2025-06-29,Organisation Commerce 88,Emergence SARL,Résumé du projet dans le domaine commerce pour la ville de Kananga.,Objectifs spécifiques liés à l'amélioration du secteur commerce à Kananga.,Ce projet vise à mettre en œuvre une solution dans le domaine commerce à Kananga.,Kananga,5655 bénéficiaires,33851 USD,Ce projet contribuera significativement au développement du secteur commerce à Kananga.
Projet Construction #89,2025-06-17,Organisation Construction 89,Emergence SARL,Résumé du projet dans le domaine construction pour la ville de Goma.,Objectifs spécifiques liés à l'amélioration du secteur construction à Goma.,Ce projet vise à mettre en œuvre une solution dans le domaine construction à Goma.,Goma,2292 bénéficiaires,56116 USD,Ce projet contribuera significativement au développement du secteur construction à Goma.
Projet Transport #90,2025-06-23,Organisation Transport 90,Emergence SARL,Résumé du projet dans le domaine transport pour la ville de Kisangani.,Objectifs spécifiques liés à l'amélioration du secteur transport à Kisangani.,Ce projet vise à mettre en œuvre une solution dans le domaine transport à Kisangani.,Kisangani,8375 bénéficiaires,65370 USD,Ce projet contribuera significativement au développement du secteur transport à Kisangani.
Projet Transport #91,2025-06-09,Organisation Transport 91,Emergence SARL,Résumé du projet dans le domaine transport pour la ville de Bukavu.,Objectifs spécifiques liés à l'amélioration du secteur transport à Bukavu.,Ce projet vise à mettre en œuvre une solution dans le domaine transport à Bukavu.,Bukavu,5266 bénéficiaires,44695 USD,Ce projet contribuera significativement au développement du secteur transport à Bukavu.
Projet Santé #92,2025-06-27,Organisation Santé 92,Emergence SARL,Résumé du projet dans le domaine santé pour la ville de Matadi.,Objectifs spécifiques liés à l'amélioration du secteur santé à Matadi.,Ce projet vise à mettre en œuvre une solution dans le domaine santé à Matadi.,Matadi,1214 bénéficiaires,98145 USD,Ce projet contribuera significativement au développement du secteur santé à Matadi.
Projet Énergie #93,2025-06-04,Organisation Énergie 93,Emergence SARL,Résumé du projet dans le domaine énergie pour la ville de Lubumbashi.,Objectifs spécifiques liés à l'amélioration du secteur énergie à Lubumbashi.,Ce projet vise à mettre en œuvre une solution dans le domaine énergie à Lubumbashi.,Lubumbashi,6738 bénéficiaires,70450 USD,Ce projet contribuera significativement au développement du secteur énergie à Lubumbashi.
Projet Transport #94,2025-06-13,Organisation Transport 94,Emergence SARL,Résumé du projet dans le domaine transport pour la ville de Mbuji-Mayi.,Objectifs spécifiques liés à l'amélioration du secteur transport à Mbuji-Mayi.,Ce projet vise à mettre en œuvre une solution dans le domaine transport à Mbuji-Mayi.,Mbuji-Mayi,9197 bénéficiaires,33424 USD,Ce projet contribuera significativement au développement du secteur transport à Mbuji-Mayi.
Projet Éducation #95,2025-06-07,Organisation Éducation 95,Emergence SARL,Résumé du projet dans le domaine éducation pour la ville de Kikwit.,Objectifs spécifiques liés à l'amélioration du secteur éducation à Kikwit.,Ce projet vise à mettre en œuvre une solution dans le domaine éducation à Kikwit.,Kikwit,3489 bénéficiaires,32503 USD,Ce projet contribuera significativement au développement du secteur éducation à Kikwit.
Projet Santé #96,2025-06-16,Organisation Santé 96,Emergence SARL,Résumé du projet dans le domaine santé pour la ville de Goma.,Objectifs spécifiques liés à l'amélioration du secteur santé à Goma.,Ce projet vise à mettre en œuvre une solution dans le domaine santé à Goma.,Goma,1876 bénéficiaires,55422 USD,Ce projet contribuera significativement au développement du secteur santé à Goma.
Projet Tourisme #97,2025-06-09,Organisation Tourisme 97,Emergence SARL,Résumé du projet dans le domaine tourisme pour la ville de Matadi.,Objectifs spécifiques liés à l'amélioration du secteur tourisme à Matadi.,Ce projet vise à mettre en œuvre une solution dans le domaine tourisme à Matadi.,Matadi,9602 bénéficiaires,57890 USD,Ce projet contribuera significativement au développement du secteur tourisme à Matadi.
Projet Éducation #98,2025-06-20,Organisation Éducation 98,Emergence SARL,Résumé du projet dans le domaine éducation pour la ville de Matadi.,Objectifs spécifiques liés à l'amélioration du secteur éducation à Matadi.,Ce projet vise à mettre en œuvre une solution dans le domaine éducation à Matadi.,Matadi,1686 bénéficiaires,28004 USD,Ce projet contribuera significativement au développement du secteur éducation à Matadi.
Projet Tourisme #99,2025-06-14,Organisation Tourisme 99,Emergence SARL,Résumé du projet dans le domaine tourisme pour la ville de Kikwit.,Objectifs spécifiques liés à l'amélioration du secteur tourisme à Kikwit.,Ce projet vise à mettre en œuvre une solution dans le domaine tourisme à Kikwit.,Kikwit,3213 bénéficiaires,76566 USD,Ce projet contribuera significativement au développement du secteur tourisme à Kikwit.
Projet Tourisme #100,2025-06-26,Organisation Tourisme 100,Emergence SARL,Résumé du projet dans le domaine tourisme pour la ville de Mbuji-Mayi.,Objectifs spécifiques liés à l'amélioration du secteur tourisme à Mbuji-Mayi.,Ce projet vise à mettre en œuvre une solution dans le domaine tourisme à Mbuji-Mayi.,Mbuji-Mayi,9455 bénéficiaires,40671 USD,Ce projet contribuera significativement au développement du secteur tourisme à Mbuji-Mayi.
