"titre","date_soumission","porteur_projet","destinataire","resume_projet","objectifs_projet","description_projet","localisation","beneficiaires","budget_previsionnel","conclusion"
"Projet de Biométrie #1","20/02/2025","Jeunes Entrepreneurs Kin","Incubateur Émergence","Ce projet vise à renforcer le secteur de biométrie dans la région de Goma.","Améliorer les conditions dans le domaine de biométrie pour les jeunes diplômés.","Activités : formation, dotation en équipements, sensibilisation communautaire dans biométrie.","Kinshasa","étudiants","181491 USD","Nous espérons un accompagnement stratégique."
"Projet de Énergie #2","06/01/2024","Kabasele Group","ONG Partenaire","Ce projet vise à renforcer le secteur de énergie dans la région de Mbuji-Mayi.","Améliorer les conditions dans le domaine de énergie pour les jeunes diplômés.","Activités : formation, dotation en équipements, sensibilisation communautaire dans énergie.","Kisangani","étudiants","144801 USD","Nous sollicitons une analyse approfondie par Emergence."
"Projet de Énergie #3","12/06/2024","Jeunes Entrepreneurs Kin","Ministère de l'Économie","Ce projet vise à renforcer le secteur de énergie dans la région de Kinshasa.","Améliorer les conditions dans le domaine de énergie pour les étudiants.","Activités : formation, dotation en équipements, sensibilisation communautaire dans énergie.","Mbuji-Mayi","jeunes diplômés","123608 USD","Nous espérons un accompagnement stratégique."
"Projet de Agriculture #4","11/07/2024","Médicorp","ONG Partenaire","Ce projet vise à renforcer le secteur de agriculture dans la région de Kinshasa.","Améliorer les conditions dans le domaine de agriculture pour les étudiants.","Activités : formation, dotation en équipements, sensibilisation communautaire dans agriculture.","Goma","femmes rurales","150812 USD","Nous sollicitons une analyse approfondie par Emergence."
"Projet de Construction #5","31/05/2024","Médicorp","Ministère de l'Économie","Ce projet vise à renforcer le secteur de construction dans la région de Kisangani.","Améliorer les conditions dans le domaine de construction pour les jeunes diplômés.","Activités : formation, dotation en équipements, sensibilisation communautaire dans construction.","Mbuji-Mayi","femmes rurales","29385 USD","Nous sollicitons une analyse approfondie par Emergence."
"Projet de Construction #6","02/01/2024","Femmes d'Impact","Investisseurs Privés","Ce projet vise à renforcer le secteur de construction dans la région de Lubumbashi.","Améliorer les conditions dans le domaine de construction pour les centres de santé.","Activités : formation, dotation en équipements, sensibilisation communautaire dans construction.","Lubumbashi","femmes rurales","24913 USD","Nous sollicitons une analyse approfondie par Emergence."
"Projet de Agriculture #7","16/06/2024","Green Congo","Emergence SARL","Ce projet vise à renforcer le secteur de agriculture dans la région de Matadi.","Améliorer les conditions dans le domaine de agriculture pour les centres de santé.","Activités : formation, dotation en équipements, sensibilisation communautaire dans agriculture.","Kinshasa","centres de santé","47935 USD","Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Sante #8","12/01/2025","AGRI-DEV","Incubateur Émergence","Ce projet vise à renforcer le secteur de sante dans la région de Lubumbashi.","Améliorer les conditions dans le domaine de sante pour les centres de santé.","Activités : formation, dotation en équipements, sensibilisation communautaire dans sante.","Kinshasa","centres de santé","158541 USD","Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Sante #9","20/12/2024","Médicorp","Incubateur Émergence","Ce projet vise à renforcer le secteur de sante dans la région de Kinshasa.","Améliorer les conditions dans le domaine de sante pour les populations urbaines.","Activités : formation, dotation en équipements, sensibilisation communautaire dans sante.","Mbuji-Mayi","étudiants","138501 USD","Nous sollicitons une analyse approfondie par Emergence."
"Projet de Construction #10","17/03/2025","Kabasele Group","Incubateur Émergence","Ce projet vise à renforcer le secteur de construction dans la région de Goma.","Améliorer les conditions dans le domaine de construction pour les étudiants.","Activités : formation, dotation en équipements, sensibilisation communautaire dans construction.","Matadi","jeunes diplômés","101990 USD","Nous espérons un accompagnement stratégique."
"Projet de Ntic #11","25/09/2024","AGRI-DEV","ONG Partenaire","Ce projet vise à renforcer le secteur de ntic dans la région de Kinshasa.","Améliorer les conditions dans le domaine de ntic pour les centres de santé.","Activités : formation, dotation en équipements, sensibilisation communautaire dans ntic.","Goma","femmes rurales","52105 USD","Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Ntic #12","09/09/2024","Kabasele Group","Emergence SARL","Ce projet vise à renforcer le secteur de ntic dans la région de Bukavu.","Améliorer les conditions dans le domaine de ntic pour les PME locales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans ntic.","Kisangani","PME locales","30061 USD","Nous espérons un accompagnement stratégique."
"Projet de Construction #13","17/09/2024","Femmes d'Impact","Emergence SARL","Ce projet vise à renforcer le secteur de construction dans la région de Lubumbashi.","Améliorer les conditions dans le domaine de construction pour les PME locales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans construction.","Matadi","jeunes diplômés","162474 USD","Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Construction #14","02/03/2025","TechnoPlus","Incubateur Émergence","Ce projet vise à renforcer le secteur de construction dans la région de Goma.","Améliorer les conditions dans le domaine de construction pour les PME locales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans construction.","Mbuji-Mayi","jeunes diplômés","144283 USD","Nous sollicitons une analyse approfondie par Emergence."
"Projet de Tourisme #15","02/02/2025","StartUp RDC","Emergence SARL","Ce projet vise à renforcer le secteur de tourisme dans la région de Goma.","Améliorer les conditions dans le domaine de tourisme pour les étudiants.","Activités : formation, dotation en équipements, sensibilisation communautaire dans tourisme.","Kinshasa","centres de santé","69987 USD","Nous sollicitons une analyse approfondie par Emergence."
"Projet de Agriculture #16","12/09/2024","Femmes d'Impact","Incubateur Émergence","Ce projet vise à renforcer le secteur de agriculture dans la région de Bukavu.","Améliorer les conditions dans le domaine de agriculture pour les centres de santé.","Activités : formation, dotation en équipements, sensibilisation communautaire dans agriculture.","Kinshasa","femmes rurales","54900 USD","Il nécessite un soutien technique et financier."
"Projet de Tourisme #17","23/06/2024","Femmes d'Impact","Ministère de l'Économie","Ce projet vise à renforcer le secteur de tourisme dans la région de Goma.","Améliorer les conditions dans le domaine de tourisme pour les populations urbaines.","Activités : formation, dotation en équipements, sensibilisation communautaire dans tourisme.","Kisangani","étudiants","55195 USD","Il nécessite un soutien technique et financier."
"Projet de Fintech #18","29/10/2024","Jeunes Entrepreneurs Kin","ONG Partenaire","Ce projet vise à renforcer le secteur de fintech dans la région de Bukavu.","Améliorer les conditions dans le domaine de fintech pour les jeunes diplômés.","Activités : formation, dotation en équipements, sensibilisation communautaire dans fintech.","Lubumbashi","femmes rurales","31518 USD","Nous espérons un accompagnement stratégique."
"Projet de Ntic #19","13/01/2025","Femmes d'Impact","Investisseurs Privés","Ce projet vise à renforcer le secteur de ntic dans la région de Kinshasa.","Améliorer les conditions dans le domaine de ntic pour les PME locales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans ntic.","Kinshasa","centres de santé","43312 USD","Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Construction #20","04/03/2025","Médicorp","Emergence SARL","Ce projet vise à renforcer le secteur de construction dans la région de Matadi.","Améliorer les conditions dans le domaine de construction pour les étudiants.","Activités : formation, dotation en équipements, sensibilisation communautaire dans construction.","Lubumbashi","PME locales","168748 USD","Nous espérons un accompagnement stratégique."
"Projet de Formation #21","28/05/2024","AGRI-DEV","Investisseurs Privés","Ce projet vise à renforcer le secteur de formation dans la région de Matadi.","Améliorer les conditions dans le domaine de formation pour les populations urbaines.","Activités : formation, dotation en équipements, sensibilisation communautaire dans formation.","Kinshasa","jeunes diplômés","137163 USD","Nous espérons un accompagnement stratégique."
"Projet de Ntic #22","06/02/2025","AGRI-DEV","Emergence SARL","Ce projet vise à renforcer le secteur de ntic dans la région de Goma.","Améliorer les conditions dans le domaine de ntic pour les populations urbaines.","Activités : formation, dotation en équipements, sensibilisation communautaire dans ntic.","Kisangani","PME locales","9044 USD","Nous sollicitons une analyse approfondie par Emergence."
"Projet de Éducation #23","09/01/2025","Femmes d'Impact","Incubateur Émergence","Ce projet vise à renforcer le secteur de éducation dans la région de Matadi.","Améliorer les conditions dans le domaine de éducation pour les PME locales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans éducation.","Goma","étudiants","137097 USD","Nous espérons un accompagnement stratégique."
"Projet de Éducation #24","04/06/2024","Kabasele Group","Emergence SARL","Ce projet vise à renforcer le secteur de éducation dans la région de Bukavu.","Améliorer les conditions dans le domaine de éducation pour les PME locales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans éducation.","Matadi","PME locales","167168 USD","Nous espérons un accompagnement stratégique."
"Projet de Sante #25","30/03/2025","Médicorp","Incubateur Émergence","Ce projet vise à renforcer le secteur de sante dans la région de Matadi.","Améliorer les conditions dans le domaine de sante pour les étudiants.","Activités : formation, dotation en équipements, sensibilisation communautaire dans sante.","Goma","jeunes diplômés","12923 USD","Ce projet changera positivement la vie des bénéficiaires."
"Projet de Sante #26","22/05/2025","Green Congo","ONG Partenaire","Ce projet vise à renforcer le secteur de sante dans la région de Lubumbashi.","Améliorer les conditions dans le domaine de sante pour les populations urbaines.","Activités : formation, dotation en équipements, sensibilisation communautaire dans sante.","Kinshasa","étudiants","149275 USD","Nous espérons un accompagnement stratégique."
"Projet de Agriculture #27","15/10/2024","Médicorp","Incubateur Émergence","Ce projet vise à renforcer le secteur de agriculture dans la région de Kinshasa.","Améliorer les conditions dans le domaine de agriculture pour les centres de santé.","Activités : formation, dotation en équipements, sensibilisation communautaire dans agriculture.","Lubumbashi","populations urbaines","185291 USD","Il nécessite un soutien technique et financier."
"Projet de Biométrie #28","25/03/2024","TechnoPlus","Ministère de l'Économie","Ce projet vise à renforcer le secteur de biométrie dans la région de Kisangani.","Améliorer les conditions dans le domaine de biométrie pour les PME locales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans biométrie.","Kinshasa","populations urbaines","27699 USD","Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Éducation #29","22/12/2024","Médicorp","Investisseurs Privés","Ce projet vise à renforcer le secteur de éducation dans la région de Goma.","Améliorer les conditions dans le domaine de éducation pour les femmes rurales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans éducation.","Kinshasa","femmes rurales","55784 USD","Nous sollicitons une analyse approfondie par Emergence."
"Projet de Construction #30","16/06/2024","AGRI-DEV","Investisseurs Privés","Ce projet vise à renforcer le secteur de construction dans la région de Bukavu.","Améliorer les conditions dans le domaine de construction pour les femmes rurales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans construction.","Mbuji-Mayi","populations urbaines","181194 USD","Il nécessite un soutien technique et financier."
"Projet de Éducation #31","11/03/2025","StartUp RDC","Ministère de l'Économie","Ce projet vise à renforcer le secteur de éducation dans la région de Kisangani.","Améliorer les conditions dans le domaine de éducation pour les PME locales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans éducation.","Goma","jeunes diplômés","18692 USD","Ce projet changera positivement la vie des bénéficiaires."
"Projet de Sante #32","16/07/2024","Médicorp","Investisseurs Privés","Ce projet vise à renforcer le secteur de sante dans la région de Goma.","Améliorer les conditions dans le domaine de sante pour les populations urbaines.","Activités : formation, dotation en équipements, sensibilisation communautaire dans sante.","Mbuji-Mayi","PME locales","163630 USD","Ce projet changera positivement la vie des bénéficiaires."
"Projet de Fintech #33","26/02/2024","Kabasele Group","ONG Partenaire","Ce projet vise à renforcer le secteur de fintech dans la région de Kisangani.","Améliorer les conditions dans le domaine de fintech pour les PME locales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans fintech.","Mbuji-Mayi","femmes rurales","103210 USD","Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Tourisme #34","12/02/2024","Femmes d'Impact","Ministère de l'Économie","Ce projet vise à renforcer le secteur de tourisme dans la région de Kisangani.","Améliorer les conditions dans le domaine de tourisme pour les PME locales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans tourisme.","Bukavu","centres de santé","36568 USD","Nous sollicitons une analyse approfondie par Emergence."
"Projet de Formation #35","02/01/2024","Médicorp","Investisseurs Privés","Ce projet vise à renforcer le secteur de formation dans la région de Mbuji-Mayi.","Améliorer les conditions dans le domaine de formation pour les centres de santé.","Activités : formation, dotation en équipements, sensibilisation communautaire dans formation.","Bukavu","jeunes diplômés","63729 USD","Nous sollicitons une analyse approfondie par Emergence."
"Projet de Formation #36","26/09/2024","Jeunes Entrepreneurs Kin","Ministère de l'Économie","Ce projet vise à renforcer le secteur de formation dans la région de Matadi.","Améliorer les conditions dans le domaine de formation pour les étudiants.","Activités : formation, dotation en équipements, sensibilisation communautaire dans formation.","Mbuji-Mayi","PME locales","8920 USD","Nous espérons un accompagnement stratégique."
"Projet de Agriculture #37","18/03/2025","Green Congo","Emergence SARL","Ce projet vise à renforcer le secteur de agriculture dans la région de Matadi.","Améliorer les conditions dans le domaine de agriculture pour les populations urbaines.","Activités : formation, dotation en équipements, sensibilisation communautaire dans agriculture.","Kisangani","femmes rurales","145433 USD","Nous sollicitons une analyse approfondie par Emergence."
"Projet de Énergie #38","21/07/2024","Green Congo","Emergence SARL","Ce projet vise à renforcer le secteur de énergie dans la région de Matadi.","Améliorer les conditions dans le domaine de énergie pour les étudiants.","Activités : formation, dotation en équipements, sensibilisation communautaire dans énergie.","Kisangani","PME locales","45679 USD","Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Formation #39","01/10/2024","TechnoPlus","ONG Partenaire","Ce projet vise à renforcer le secteur de formation dans la région de Lubumbashi.","Améliorer les conditions dans le domaine de formation pour les femmes rurales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans formation.","Lubumbashi","centres de santé","100034 USD","Il nécessite un soutien technique et financier."
"Projet de Construction #40","14/01/2024","Jeunes Entrepreneurs Kin","Investisseurs Privés","Ce projet vise à renforcer le secteur de construction dans la région de Goma.","Améliorer les conditions dans le domaine de construction pour les PME locales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans construction.","Matadi","étudiants","42250 USD","Il nécessite un soutien technique et financier."
"Projet de Tourisme #41","19/05/2024","TechnoPlus","ONG Partenaire","Ce projet vise à renforcer le secteur de tourisme dans la région de Lubumbashi.","Améliorer les conditions dans le domaine de tourisme pour les PME locales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans tourisme.","Matadi","centres de santé","190026 USD","Nous sollicitons une analyse approfondie par Emergence."
"Projet de Construction #42","14/03/2025","TechnoPlus","Ministère de l'Économie","Ce projet vise à renforcer le secteur de construction dans la région de Matadi.","Améliorer les conditions dans le domaine de construction pour les jeunes diplômés.","Activités : formation, dotation en équipements, sensibilisation communautaire dans construction.","Mbuji-Mayi","jeunes diplômés","146760 USD","Il nécessite un soutien technique et financier."
"Projet de Construction #43","16/07/2024","StartUp RDC","Incubateur Émergence","Ce projet vise à renforcer le secteur de construction dans la région de Mbuji-Mayi.","Améliorer les conditions dans le domaine de construction pour les centres de santé.","Activités : formation, dotation en équipements, sensibilisation communautaire dans construction.","Kisangani","étudiants","61326 USD","Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Tourisme #44","09/03/2024","Médicorp","Incubateur Émergence","Ce projet vise à renforcer le secteur de tourisme dans la région de Kinshasa.","Améliorer les conditions dans le domaine de tourisme pour les populations urbaines.","Activités : formation, dotation en équipements, sensibilisation communautaire dans tourisme.","Bukavu","centres de santé","139334 USD","Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Tourisme #45","20/11/2024","Médicorp","Ministère de l'Économie","Ce projet vise à renforcer le secteur de tourisme dans la région de Goma.","Améliorer les conditions dans le domaine de tourisme pour les jeunes diplômés.","Activités : formation, dotation en équipements, sensibilisation communautaire dans tourisme.","Kisangani","femmes rurales","92384 USD","Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Construction #46","16/06/2024","AGRI-DEV","Emergence SARL","Ce projet vise à renforcer le secteur de construction dans la région de Matadi.","Améliorer les conditions dans le domaine de construction pour les populations urbaines.","Activités : formation, dotation en équipements, sensibilisation communautaire dans construction.","Mbuji-Mayi","PME locales","7876 USD","Nous espérons un accompagnement stratégique."
"Projet de Biométrie #47","13/06/2024","Jeunes Entrepreneurs Kin","ONG Partenaire","Ce projet vise à renforcer le secteur de biométrie dans la région de Matadi.","Améliorer les conditions dans le domaine de biométrie pour les populations urbaines.","Activités : formation, dotation en équipements, sensibilisation communautaire dans biométrie.","Bukavu","étudiants","183068 USD","Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Fintech #48","22/02/2024","Kabasele Group","Emergence SARL","Ce projet vise à renforcer le secteur de fintech dans la région de Goma.","Améliorer les conditions dans le domaine de fintech pour les PME locales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans fintech.","Kisangani","femmes rurales","60585 USD","Il nécessite un soutien technique et financier."
"Projet de Agriculture #49","10/08/2024","Médicorp","Investisseurs Privés","Ce projet vise à renforcer le secteur de agriculture dans la région de Mbuji-Mayi.","Améliorer les conditions dans le domaine de agriculture pour les centres de santé.","Activités : formation, dotation en équipements, sensibilisation communautaire dans agriculture.","Bukavu","populations urbaines","161348 USD","Ce projet changera positivement la vie des bénéficiaires."
